대화셋일련번호,고객의도,문장번호,고객질문(요청),개체명 ,지식베이스
A4236,대출,1,마이너스통장을 개설하고 싶어요.,"마이너스통장,가입","가입,신규개설"
A4238,대출,1,대출기간은 남았는데 지금 먼저 상환할 수 있나요?,"대출,상환",상환
A4239,대출,1,제 배우자가 외국인인데 대출이 가능한가요?,"외국인,대출,가능","대출,외국인-국적"
A4330,주택자금대출,1,주택자금대출 알아보려구요,"주택,자금,대출","자금,부동산"
A4452,학자금대출,1,학자금대출을 받으려면 어떻게 해야 하나요?,학자금대출,학자금대출
A4454,신용대출,1,신용대출이 가능한지 문의하려고 합니다.                 조건이 어떻게 되나요?,"신용대출, 문의,조건","문의,신용대출"
A4455,대출 ,1,직장인 대출이 가능할까요?,,
A4601,대출 서비스,1,대출 금리 낮출 수 있나요?,"대출,금리","금리,이자율"
A4603,학자금 대출,1,학자금 대출 받으려구요 받을수있나요?,"학자금,대출",대출
A4604,카드 대출,1,신용카드로 대출 되요?,"신용카드,대출","대출,카드"
A4605,적금 대출,1,적금으로 대출 되요?,"적금, 대출",대출
A4610,대출 서비스,1,청년전용버팀목 전세대출 하려고요,"청년전용버팀목, 전세,대출",전세
A4614,대출 서비스,1,학자금 대출 문의요,"학자금,대출, 문의",대출
A4616,대출 서비스,1,중소기업청년전세대출 문의요,"중소기업청년전세대출,문의",문의
A4624,대출 서비스,1,무엇을 도와드릴까요 고객님?,고객,고객
A4626,전세 대출,1,전세 대출 알아보려고요,"전세,대출",대출
A4630,전세 대출 서비스,1,전세자금대출이 하고 싶은데요,전세자금대출,전세자금대출
A4631,담보 대출 ,1,담보대출이 가능 한가요?,"담보,대출",대출
A4634,대출 서비스,1,마통 신청하고 싶은데요?,"마통,신청","신청,마이너스통장"
A4635,대출 서비스,1,신용대출이 가능한지 문의하려고요,"신용,대출,가능,문의",대출
A4638,대출 서비스,1,청약저축으로 대출 되요?,"청약,저축,대출","저축,저금"
A4645,대출 서비스,1,전세 대출 알아보려고요,"전세,대출","대출,이율"
A4651,대출 서비스,1,직장인인데 대출 하려고요,"직장,대출","대출,회사"
A4653,대출 서비스,1,학자금대출을 받고싶어요,학자금대출,학자금대출
A4657,대출 서비스,1,전세자금대출 하려고요,전세자금대출,전세자금대출
A4668,대출 서비스,1,적금으로 대출이 되나요?,"적금,대출",대출
A4669,대출 서비스,1,인터넷으로 대출상환 할 수 있습니까?,"인터넷,대출,상환",대출
A4670,대출 서비스,1,담보대출 금리를 내릴 수 있습니까?,"담보,대출,금리","대출,이자율"
A4672,카드 대출,1,신용카드로 대출 할 수 있습니까?,"신용카드,대출","대출,카드"
A4673,대출 서비스,1,학자금대출을 받을 수 있습니까?,"학자금,대출",대출
A4677,대출 서비스,1,신용대출을 받고싶은데요,신용대출,신용대출
A4890,주택자금대출,1,전세자금 대출 알아보려구요,"전세,자금,대출","자금,대출"
A4893,신용등급문의,1,대출시 신용등급이 많은 영향을 끼치나요,"대출,본인,신용","본인,금융서비스"
A4928,신용대출,1,신용대출 받고싶은데요 가능할까요?,"신용,대출","대출,대부"
A4929,대출금리인하,1,대출금리 인하는 어떻게 받나요?,"대출,금리","금리,이율"
A4930,학자금대출,1,학자금 대출 신청이 가능할까요?,"학자금,신청","신청,융자"
A4933,대출금리인하,1,대출금리를 인하 가능할까요?,"대출,금리","금리,이율"
A4934,학자금대출,1,학자금 대출이 가능한가요?,학자금,"학자금,융자"
A4935,담보대출,1,제가 가지고 있는 적금을 담보로 대출이 가능 할까요?,"적금,담보","담보,융자"
A4937,전세자금대출,1,전세자금 대출 문의드려도 될가요?,"전세,자금","자금,융자"
A4938,전세자금대출,1,전세자금 대출 문의드려도 될가요?,"전세,자금","자금,융자"
A4941,잔세자금대출상환,1,전세자금대출 완납하고 싶은데요?,"전세,자금,완납","자금,융자"
A4942,소상공인대출,1,코로나 19로 인한 특별대출 신청 어떻게 하나요?,"코로나,특별","특별,승인"
A4943,중소기업 청년대출,1,중소기업청년 전월세보증금 대출을 받을수 있을까요?,"중소기업,청년","청년,계약금"
A4952,대출서비스,1,수고하십니다. 현금서비스관련 궁금한게 있어서요.,"수고, 현금서비스, 궁금","현금서비스,단기대출"
A4953,대출거래내역,1,저기요 담보대출 거래내역을 알고 싶어서요.,"담보대출, 거래내역","거래내역,대출상품"
A4957,대출서비스,1,대출서비스 관련하여 궁금한게 있어서요.,"대출서비스, 관련, 궁금","관련,의문"
A4969,전세대출,1,수고하십니다 전세자금 대출을 받고 싶은데요.,"수고, 전세자금, 대출","전세자금,융자"
A4971,전세대출,1,수고하십니다. 전세자금대출에 대해 궁금한게 있어서요.,"전세자금대출, 궁금","궁금,전세자금융자"
A4973,전세대출,1,전세대출 관련하여 문의 드릴께 있어서요.,"전세대출, 문의","문의,전세자금대출"
A4975,전세대출,1,수고하십니다. 전세 대출 가능한지 좀 알아보려고요.,전세대출,"전세대출,전세자금대출"
A4976,자영업대출,1,수고하십니다. 대출 궁금해서요.,"수고, 대출","대출,융자"
A4977,자영업대출,1,휴… 요즘 너무 힘들어서요 혹시 대출 안될까요?,"요즘, 대출","대출,융자"
A4978,자영업대출,1,저기요 너무 힘이 들어 대출 좀 알아보려고요.,"힘, 대출","대출,융자"
A4979,자영업대출,1,수고하십니다. 자영업자 대출을 좀 알아보려고요,"자영업자, 대출","대출,개인사업자"
A4980,자영업대출,1,"저기요.개인사업자인데요, 대출관련 궁금한게 있어서요","개인사업자, 대출","대출,자영업자"
A4981,자영업대출,1,대출상담 되나요? ,대출,"대출,융자"
A4982,자영업대출,1,수고하십니다. 제가 대출 받은게 있는데 추가로 대출이 될까요?,"수고, 대출, 추가","대출,노고"
A4983,무직자대출,1,수고하십니다.무직자 대출 좀 알아보려고요,무직자대출,"무직자대출,실업자대출"
A4984,무직자대출,1,수고하십니다. 무직자 대출 이라는게 있다고 하던데요.,"수고, 무직자 대출","무직자대출,노고"
A4985,무직자대출,1,수고하십니다. 직장이 없어도 대출이 된다고 하던데요,"직장, 대출","대출,일"
A4986,무직자대출,1,수고하십니다. 대출을 좀 받을수 있을까 해서요.,"수고, 대출","대출,노고"
A4987,무직자대출,1,저기요…직장을 안 다녀도 대출 된다고 그러던데요.,"직장, 대출","대출,일"
A4988,무직자대출,1,직장 없어도 대출 되나요?,"직장, 대출. 제약","대출.제약,일"
A4989,무직자대출,1,얼마전 해고 당해서 수입이 없는데… 혹시 대출이 될까요?,"해고, 수입, 대출","수입,급여"
A4990,무직자대출,1,수고하십니다. 직장이 없어도 받을수  있는 대출이 있다고하던데요.,"수고, 직장, 대출","직장,일"
A4991,담보대출,1,수고하십니다. 담보대출에 대해서 좀 문의하려고요.,"수고, 담보대출","담보대출,노고"
A4992,담보대출,1,담보대출 궁금한게 있어 문의 드립니다.,"담보대출, 궁금","궁금,보증대출"
A4993,담보대출,1,수고하십니다. 담보대출 상담할게 있어서요.,"담보대출, 상담","상담,보증대출"
A4994,담보대출,1,수고하십니다. 제가 작은 건물이 하나 있는데 이걸로 담보 대출이 될까요?,"수고, 건물, 담보","건물,노고"
A4995,담보대출,1,저기요 담보대출은 어떤게 있나요?,담보대출,"담보대출,보증대출"
A4996,담보대출,1,수고하십니다. 제가 아파트 상가를 소유중인데 담보대출에 대해 궁금한게 있어서요.,"아파트, 담보대출","담보대출,주거형태"
A4997,담보대출,1,수고하십니다 주택담보대출 좀 알아보려고 하는데요.,주택담보대출,"주택담보대출,주택보증대출"
A4998,담보대출,1,작은 상가 건물을 갖고 있는데 대출 가능한지 문의 좀 하려고요.,"상가, 건물, 대출","건물,빌딩"
A4999,신용대출,1,수고하십니다. 신용대출 관련해서 궁금한게 있어서요.,"수고, 신용대출, 궁금","신용대출,의문"
A5000,신용대출,1,수고하십니다 신용대출은 받으려면 어떻게 하나요?,"수고, 신용대출, 궁금","신용대출,노고"
A5001,신용대출,1,신용대출 상담 할 수 있나요?,신용대출,"신용대출,신용융자"
A5002,신용대출,1,수고하십니다. 신용대출을 받고 싶은데요.,"수고, 신용대출 ","신용대출,노고"
A5003,신용대출,1,저기요 신용대출 받고 싶은데 가능할까요?,신용대출,"신용대출,신용융자"
A5004,신용대출,1,수고 많으십니다. 대출이 가능한 지 좀 알아보려고요.,"수고, 대출","대출,노고"
A5005,신용대출,1,수고하십니다. 저도 대출이 될까 해서요.,"수고, 대출","대출,융자"
A5006,대출종류,1,저기요 신용대출 받을수 있나 해서요.,신용대출,"신용대출,신용융자"
A5034,신용대출,1,전세금이 부족해 신용대출 문의 하려구요,"신용,대출","대출,은행"
A5037,카드대출문자,1,카드대출 문자메세지가 뜨는데 가능한가요,카드,"카드,SMS"
A5038,대출금리,1,대출금리 인하 할수 있나요?,"금리,대출,인하","대출,이자율"
A5041,학자금대출상환,1,학자금 대출과 상환방법 문의하려구요?,"학자금,대출,상환","대출,학비"
A5042,예치금담보대출,1,예치금으로 담보대출 문의 하려구요,담보대출,담보대출
A5044,전세자금대출,1,전세자금대출 한도 문의해도 될까요?,"대출,전세","전세,대부"
A5048,적금대출,1,적금 해약건으로 문의해도 되나요?,"적금,해약","해약,예적금"
A5066,주택담보대출,1,신용대출 문의해도 될까요,"신용도, 대출","대출,대부"
A5067,대출금리변동,1,담보대출 상담시는 이자가 2%였는데  이자를 내려고보니 2.2%로 계산됐는데 어찌된건지요," 처음, 답보대출, 2%, 오늘, 확인, 2.2%","답보대출,검증"
A5167,수시대출,1,수시대출(마이너스통장) 신청하고 싶은데요?,수시대출,"수시대출,수시대출(마이너스통장)"
A5169,보험계약대출,1,보험계약 대출 가능할까요?,보험계약 대출,"보험계약대출,대출"
A5176,대출,1,약관대출을 받고 싶은데요.,약관대출,약관대출
A5292,보험계약대출,1,제가 보험계약대출을 얼마받았는지 알수있나요?,"보험계약대출,얼마","얼마,약관대출"
A5395,보험계약대출,1,가입한 보험에서 대출이 가능한가요?,"보험계약,대출,가능","대출,약관대출"
A5461,학자금대출,1,학자금 대출 신청문의 하려구요,"학자금,대출","대출,금융기관"
A5510,보험계약대출,1,보험계약 대출 가능할까요?,보험계약 대출,"보험계약대출,대출"
A5511,청약저축대출,1,청약저축을 담보로 대출이 가능한가요?,"청약저욱,담보,대출",담보
A5566,보험 대출,1,보험으로 대출 받으려고요,"보험,대출","대출,금융상품"
A5567,보험 대출,1,보험 대출 되나 싶어서요,"보험,대출","대출,금융상품"
A5568,보험 대출,1,보험약관 대출을 알아보고 싶습니다.,"보험,약관,대출","약관,계약"
A5582,보험 대출,1,보험계약대출 신청 가능한 조건이 있습니까?,"보험,계약,대출,신청,가능,조건","계약,금융상품"
A5583,보험 대출,1,암보험도 환급되서 출금 할 수 있어요?,"암보험,환급,출금",환급
A5585,보험 대출,1,보험계약 대출 할 수 있나요?,"보험,계약,대출","계약,금융상품"
A5604,대출 서비스,1,300만원 정도 약관대출로 할 수 있습니까?,"300만원,약관,대출","약관,금액"
A5622,보험 대출,1,보험계약대출 받으려면 어떻게 해야합니까?,"보험,계약,대출","계약,금융상품"
A5623,대출 서비스,1,이곳에서 보험 약관대출 됩니까?,"보험,약관,대출","약관,금융상품"
A5624,대출 서비스,1,대출 상환 가능합니까?,"대출,상환,가능",상환
A5626,대출 서비스,1,대출 신청할 때 본인이 직접 가야합니까?,"대출, 신청, 본인",신청
A5701,보험계약대출,1,보험계약대출이 뭔가요?,보험계약대출,"보험계약대출,대출"
A5702,보험계약대출,1,보험계약 대출을 좀 문의 드릴게요.,"보험계약, 대출, 문의","대출,질문"
A5703,보험계약대출,1,"안녕하세요, 문의 좀 드리려고요.",문의,"문의,질문"
A5704,보험계약대출,1,보험계약대출에 대해 알고 싶어요.,보험계약대출,"보험계약대출,대출"
A5705,보험계약대출,1,제가 보험 가입해 놓은 게 있는데요.,"보험, 가입","가입,등록"
A5706,보험계약대출,1,보험계약대출이 뭔가요?,보험계약대출,"보험계약대출,대출"
A5707,보험계약대출,1,보험계약대출 신청하려고요.,"보험계약대출, 신청","신청,요청"
A5708,보험계약대출,1,보험으로 대출받으려고 하는데요.,"보험, 대출","대출,금융서비스"
A5709,보험계약대출,1,제가 가입한 보험으로 대출이 가능한가요?,"가입, 보험, 대출, 가능","보험,승인"
A5710,보험계약대출,1,보험을 담보로 대출을 받을 수 있나요?,"보험, 담보, 대출","담보,금융서비스"
A5711,보험계약대출,1,제가 지난주에 보험계약대출을 받았는데요.,보험계약대출,"보험계약대출,대출"
A5712,보험계약대출,1,보험계약대출 때문에 전화 드렸어요.,"보험계약대출, 전화","전화,통신수단"
A5713,보험계약대출,1,보험계약대출 관련해서 문의 드립니다.,"보험계약대출, 문의","문의,질문"
A5716,보험중도인출,1,보험계약대출 알아보고 있는데 궁금한 게 있어서요.,보험계약대출,"보험계약대출,대출"
A5718,보험론,1,저.. 제가 자금이 필요해서 대출을 받아야 하는데요.,"자금, 필요, 대출","필요,금융서비스"
A5790,학자금대출,1,등록금 대출 문의하려구요,"등록금,대출","대출,금융기관"
A5847,대출서비스,1,보험 대출스마트출금 서비스라고 하던데 뭔가요?,"보험, 서비스","서비스,손해보증"
A5851,대출서비스,1,대출 서비스 궁금한게 있어서요?,"대출, 서비스","서비스,금융상품"
A5852,대출내역조회,1,수고하십니다. 대출내역조회 문의 드립니다,"수고, 대출, 문의","대출,질문"
A5854,대출서비스,1,수고하십니다. 대출현황을 조회하고 싶은데요.,"수고, 대출현황","대출현황,노고"
A5855,대출내역조회,1,수고하십니다. 대출관련하여 이상한점이 있어서요.,"수고, 대출","대출,노고"
A5856,대출서비스,1,저기요 변액보험 관련하여 대출 문의드려요,"변액보험, 대출","대출,보험상품"
A5933,보험약관대출,1,보험계약 대출 문의 하려는데 되나요?,"보험계약, 대출","대출,대부"
A5934,보험약관대출,1,약관대출로 천만원 빌릴수있는지 문의하려구요," 약관대출, 보험료,확인 ","보험료,문의"
A5935,보험약관대출,1,소멸성보험 약관대출 문의하려구요,보험약관대출,"보험약관대출,소멸성"
A6063,대출문의,1,대출문의 좀 해도 될까요?,대출,"대출,서비스"
A6064,대출문의,1,대출문의 좀 할게요.,대출,"대출,서비스"
A6065,신용대출문의,1,신용대출을 받을 수 있을까요?,신용대출,"신용대출,대출"
A6066,주택대출,1,주택도시기금대출 문의합니다. ,주택도시기금대출,"주택도시기금대출,대출상품"
A6067,버팀목대출,1,버팀목 전세자금 대출 관련 문의좀 드립니다. ,버팀목전세자금대출,"버팀목전세자금대출,대출상품"
A6089,대출 문의 ,1,전세대출관련 질문이 좀 있어서요. ,"전세대출, 질문","질문,문의"
A6090,대출 문의 ,1,신용대출에 대해 질문 좀 하려고요. ,"신용대출, 질문",질문
A6091,대출 문의 ,1,대출 관련 질문이 있습니다. ,"대출, 질문","질문,금융상품"
A6093,대출금리,1,대출금리 질문하려고 하는데요. ,"대출, 금리, 질문","금리,문의"
A6095,대출 문의,1,신혼부부 전세 대출 여기서 신청해도 되나요?,"신혼부부, 전세, 대출","전세,금융상품"
A6096,대출 문의,1,전세대출 문의 좀 하려고 합니다. ,"전세대출, 문의","문의,질문"
A6102,대출 문의 ,1,대출 좀 알아보려구요.,대출,"대출,은행대출"
A6156,대출서비스,1,대출 신청 문의 드립니다,"대출,신청,문의","신청,질문"
A6157,대출서비스,1,신용대출을 인터넷으로 신청 할 수 있나요?,"신용대출,인터넷,신청","인터넷,신청"
A6158,대출서비스,1,모바일로 대출 신청 할 수 있나요?,"모바일,대출,신청","대출,신청"
A6159,대출서비스,1,대출 신청 예정입니다,"대출,신청,예정",신청
A6160,대출서비스,1,대출 이자 납부 문의 드립니다,"대출,이자,납부,문의","이자,질문"
A6161,대출서비스,1,전세대출 문의 드립니다,"전세대출,문의","문의,질문"
A6162,대출서비스,1,연장 할 때 금리는 바뀔 수 있나요?,"연장,금리","금리,이자"
A6163,대출서비스,1,대출 받을 수 있다고 문자가 왔습니다,"대출,문자",문자
A6166,대출서비스,1,신용대출 문의 드립니다,"신용대출,문의","문의,질문"
A6167,대출서비스,1,적금담보 대출 문의 합니다,"적금,담보,대출,문의","담보,질문"
A6168,대출서비스,1,가입한 예금을 중도해지 할 경우 이자 문의 드려요,"가입,예금,중도해지,이자,문의","예금,질문"
A6169,대출서비스,1,담보대출 문의 드립니다,"담보대출,문의","문의,질문"
A6170,대출서비스,1,대출 신청 문의 드립니다,"대출,신청,문의","신청,질문"
A6171,대출서비스,1,인터넷으로 대출 신청중입니다,"인터넷,대출,신청","대출,신청"
A6172,대출서비스,1,새희망홀씨 대출 문의 합니다,"새희망홀씨,대출,문의","대출,질문"
A6173,대출서비스,1,대출문의 드립니다,대출문의,"대출문의,문의"
A6175,대출서비스,1,00은행에서 소상공인 대출 받을 수 있나요?,"00은행,소상공인,대출","소상공인,대출"
A6176,대출서비스,1,담보대출 문의 합니다,"담보대출,문의","문의,질문"
A6177,대출서비스,1,우리가족 대출 문의 드립니다,"우리가족,대출,문의","대출,질문"
A6178,대출서비스,1,e뱅크론 문의 드립니다,"e뱅크론,문의","문의,질문"
A6179,대출서비스,1,대출이 연체되어 문의 드립니다,"대출,연체,문의","연체,질문"
A6180,대출서비스,1,대출상환 문의 드립니다,"대출,상환,문의","상환,질문"
A6181,대출서비스,1,현금서비스 문의 드립니다,"현금서비스,문의","문의,질문"
A6182,대출서비스,1,현금서비스 자동이체 서비스 문의 드립니다,"현금서비스,자동이체,서비스,문의","자동이체,질문"
A6183,대출서비스,1,현금서비스가 안되요,현금서비스,"현금서비스,서비스"
A6184,대출서비스,1,일시불 금액을 할부로 전환 가능한가요?,"일시불,금액,할부,전환,가능","금액,할부"
A6185,대출서비스,1,현금서비스 문의 드립니다,"현금서비스,문의","문의,질문"
A6186,대출서비스,1,한도 문의 드립니다,"한도,문의","문의,질문"
A6189,"이체,출금, 대출서비스",1,급여이체신용대출 상품이 있나요?,"급여,이체, 대출","이체,돈"
A6190,"이체,출금, 대출서비스",1,학자금대출 은행에서 신청할수 있나요?,"학자금, 은행","은행,금융기관"
A6191,"이체,출금, 대출서비스",1,주택담보대출의 부대비용을 알고 싶은데요.,"대출, 부대비용","부대비용,돈"
A6192,"이체,출금, 대출서비스",1,대출 말소 비용 문의드리려고 하는데요.,"대출, 말소, 비용","말소,돈"
A6193,"이체,출금, 대출서비스",1,전세자금대출 문의드립니다.,대출,"대출,돈"
A6194,"이체,출금, 대출서비스",1,대출내역조회 확인하려는데요.,대출내역조회,"대출내역조회,조회"
A6195,"대출,출금, 대출서비스",1,통장이 없는데 현금출금이 가능한가요?,"통장, 현금출금","현금출금,금액"
A6196,"대출,출금, 대출서비스",1,출금관련 문의 드리려고 한는데요.,"출금,문의",문의
A6264,담보대출,1,담보대출 한도를 알고 싶은데요?,"한도, 이메일, 대출, 담보","이메일,보증"
A6265,신용대출,1,신용대출 문의를 해겠습니다?,"금액, 경우, 대출금, 신용, 대출, 문의","경우,상담"
A6266,신용대출,1,신용대출 한도 문의를 하고싶은데요?,"영업점, 신청, 한도, 신용, 대출, 문의","신청,상담"
A6267,담보대출,1,아파트 담보대출 문의 좀 하겠습니다?,"대출, 문의, 담보, 아파트","문의,주거형태"
A6269,전세담보대출,1,전세담보대출 알아볼 수 있나요?,"대출, 담보","담보,보증"
A6270,전세담보대출,1,전세집을 담보로 하는 대출 상품이 있나요?,"대출, 담보, 상품","담보,물품"
A6271,전세담보대출,1,전세담보대출 받는 방법을 알 수 있을까요?,"대출, 담보","담보,보증"
A6272,주택담보대출,1,주택담보대출 문의를 좀 해도 될까요?,"주택, 대출, 문의, 담보","대출,보증"
A6273,주택담보대출,1,주택담보대출에 대해서 알려주실수 있을까요?,"주택, 대출, 담보","대출,보증"
A6279,전세담보대출,1,전세대출을 받으려고 전화했어요?,"전화, 대출","대출,대부"
A6280,대출,1,대출상품을 문의하고 싶습니다.,"대출, 문의, 상품","문의,물품"
A6281,대출,1,실업자를 위한 대출 상품이 있나요?,"실업자, 대출, 상품","대출,물품"
A6282,신용대출,1,신용대출 관련해서 몇가지 문의해도 되나요?,"신용, 대출, 문의","대출,상담"
A6289,전세담보대출,1,전세대출 문의좀 하겠습니다?,"대출, 문의","문의,상담"
A6290,대출,1,대출상품 문의좀 할게요?,"대출, 문의, 상품","문의,물품"
A6291,대출,1,실업자도 대출 받을 수 있을까요?,"실업자, 대출","대출,대부"
A6292,신용대출,1,신용대출 문의좀 할게요?,"신용, 대출, 문의","대출,상담"
A6294,대출 상담,1,저 대출상담 할 수 있을까요?,"대출, 상담 ","상담,상의"
A6295,대출 상담,1,사업자 전세 대출이 가능한지 궁금합니다.,"가능, 궁금, 대출","궁금,금융서비스"
A6296,대출 상담,1,안녕하세요. 대출 관련해서 문의드려도 될까요?,"대출, 문의",문의
A6297,대출 상담,1,저 대출 신청하려는데 궁금한 것 좀 물어봐도 될까요?,"궁금, 대출, 신청","대출,접수"
A6298,대출 상담,1,안녕하세요. 대출 상담 가능한가요?,"가능, 대출, 상담 ","대출,상의"
A6299,대출 상담,1,저 전월세 보증금 대출때문에 물어보고싶은게 있는데 여기에 물어보는거 맞나요?,"대출, 보증, 보증금","보증,담보"
A6300,대출 상담,1,저 대출 관련해서 좀 여쭤볼게요.,대출,"대출,금융서비스"
A6301,대출 상담,1,저 대출 관련해서 문의 드려도 될까요?,"대출, 문의",문의
A6302,대출 상담,1,저 신혼부부 대출 상담 가능한가요?,"가능, 대출, 부부, 상담 ","대출,상의"
A6303,대출 상담,1,안녕하세요 버팀목 전세자금 대출 문의 좀 드리려구요~,"대출, 문의, 자금","문의,돈"
A6304,대출 상담,1,저 신혼부부 임대차 보증금 문의 좀 드릴게요.,"문의, 보증, 보증금, 부부","보증,배우자"
A6305,대출 상담,1,안녕하세요 신혼부부 대출 관련 문의 드리는 곳 맞나요?,"대출, 문의, 부부","문의,배우자"
A6306,대출 상담,1,안녕하세요 저 학자금 대출 지원 관련해서 문의 좀 드리려구요.,"대출, 문의, 자금, 지원","문의,제공"
A6307,대출 상담,1,저 대출 관련해서 문의 드려도 될까요?,"대출, 문의",문의
A6308,대출 상담,1,저 대출 관련해서 문의 드려도 됩니까?,"대출, 문의",문의
A6309,대출 상담,1,전세대출 상담문의 좀 드립니다.,"대출, 문의, 전세대출","문의,대출"
A6310,대출 상담,1,안녕하세요. 대출 관련해서 문의 좀 드려도 될까요?,"대출, 문의",문의
A6315,대출 상담,1,저 대출상담을 좀 받고싶은데요.,대출,"대출,금융서비스"
A6316,대출 상담,1,저 대출하려면 꼭 은행에 가야하나요?,"대출, 은행, 하나","은행,한개"
A6323,전세자금대출,1,중소기업청년전세대출은 금리가 얼마인가요?,"중소기업청년전세대출, 금리, 얼마","금리,수량"
A6327,전세자금대출금리,1,신혼부부 전세자금 대출 최저금리가 얼마죠?,얼마,"얼마,비용"
A6329,대출상담,1,대출을 받고싶은데 얼마까지 가능할까요?,"대출, 가능","가능,실현"
A6331,학자금대출문의,1,"대학생인데요,학자금대출을 받고싶어서요.","대학생,대출,학자금대출","대출,학생"
A6334,신용대출문의,1,"신용대출을 받고싶은데요,직업이 있어야 할까요?",신용대출 ,"신용대출,대출"
A6335,심사자격문의,1,신용대출 심사는 받기 어렵나요?,"신용대출, 심사","심사,결정"
A6340,대출금리인하,1,담보대출 금리를 낮출수 있을까요?,담보,"담보,보증"
